clean_review,y
good quality picture see,1
nice,1
good,1
ok,1
valuable product,1
awesome smile face sunglass smile face sunglass smile face sunglass smile face sunglass,1
super mobile battery backup 4 gb 64 gb rom,1
osm mobile,1
I like phone manner budget around 15k take look personally I like slow motion smooth great resolution,1
goodi love,1
nice phone,1
good quilty,1
classical,1
hi guy I write review though I know thousand already review phone already superstar category share view experience phone I actively use phone since last 16 day experience let start1 main usp phone camera yes mi note 7 pro really pro area see pic attach notice two pic buddha let I tell light difference w,1
awesome camera economical price battery back also good,1
I receive flipkart packet box look goodbut main box seal break luckily part mobile accessory availablewhy main box seal break,1
good,1
super super,1
nice,1
worthy,1
good awesome phoneno issue till date,1
nead kissht installment,1
phone awsm,1
superb phone cheap badget camera ju good average like normal like good,1
nice purchase,1
good thumb thumb,1
I dint expect phone like good product excellent cam batteryprocessor 220gh rock fast ever delivery thank flipkart mi,1
device amazing I use month camera phone artificial capture good picture video stabilize different modesi heavy gamer I use phone battery life give 4 30 5 hour also amount betery 10 available emergency use play pubg minimum 4 30 hour continuously max graphic 6 gb ram help I great memory management different app minimum lag,1
nice product ok handit goodvalue money,1
awesome phone great designlove phone performance awesome sd 660 I play pubg high graphic price killer camer ok ok special,1
nice product,1
amazing product I love smile face hearteyes,1
nice,1
good mobile price segmentand good gamer daily user good class display wide screen snapdragon 720gwith 48 megapixel camera,1
nice product must buy,1
nice,1
ossam mobile wonderful saystam must must service,1
good product,1
good quality,1
good,1
super,1
good,1
nice product price nice performance overall good camera also nice good looking I get product 7999thank flipkart fast delivery I get product in48hour realy thank flipkart,1
beautiful phone must buy smile face smile eye smile face smile eye,1
delivery boy excellentperfect value time,1
wonderful product,1
12days heavy use I share view regard redmi note 6 probest battery backupno heating issueapart continuous use whole day good camera clearity front back smooth touch premium lookquick face fingure unlockno hang issue allfast charge take around 1hr50minbest phone price demerit app support full screen include gallery hybrid slot dedic,1
budget phone,1
good phonegarda,1
performance good worth money good budget mobile feature,1
good product,1
good,1
nice phone well camera,1
worth money,1
good quality,1
excellent,1
awesome,1
well,1
nice redmi 8,1
good camera performance smile face smile eye smile face smile eye,1
compact size mobile comfortable use 1 hand I use second phone official use look classy hand,1
good price,1
super good,1
good phone,1
super,1
wow redmi smile face heart smile face heart smile face hearteyes1camera quality good tat portrait mode perfect pic 2 game adict good battery batteryperformance 3face lock get quick response fingerprint 4display also good front camera get lil bit large area display sometimes watch fullscreen video lil irritate okay I 5so overall phone worth every penny spend smile face hearteyes smile face hearteyes smile face hearteyes thumb clapping hand clapping hand clapping hand clapping hand early delivery happy tat delivery guy n,1
moblie good slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face slightly smile face,1
see mobile year ago cost around 40000 50000 rs almost kill feature mobile available reasonable price segment good enough enjoy,1
perfect phone price range camera beast excellent battery backupover good,1
good budget phone superb performance well battery life compare phone range quite happy purchase,1
nice phone I love,1
superb night mood day light nice quality,1
good,1
super camera camera flashsuper battery batterysuper 5 g phone mobile phonesuper processor fire mobile phone battery camera flash sparkle musical note triangular flag,1
I liket,1
good product,1
good,1
good phone value money,1
good phone,1
ph good,1
great phone gift son mr goutham secure distinction 93 2 exam thank flipkart timely delivery,1
amazing phone value money nice camera performance look phone budget right choice nice performance,1
I love product,1
thank flipkart mobile good camera good battery backup well,1
camera problem,1
nice,1
redmi note 7 pro well design smart phone really value money good quality camera high battery capacity good display,1
camera power low,1
awesome,1
good product,1
good low budget phone,1
nice product,1
nic,1
nice,1
good,1
nice,1
nice one camera may well price back cover boxthat shoud give,1
good,1
phone goodcamera quality a1as per mi expectatiin,1
good phone range,1
phone good mebut camera low qualitycharge service good sound quality goodit awesome phone I,1
good product,1
good,1
good product,1
nice phone,1
nice phone,1
nice mobile delivery also fast delivery boy cooperative,1
awesome purchase one favbrandthank flipkart,1
good mi mobile phone,1
good,1
nice performance,1
good product must buy,1
great,1
well,1
good,1
wt amazing phone mobile phone wow super really buy product come headphone box,1
everything good,1
good,1
good,1
good good,1
nyc productlove,1
good cost,1
awesome,1
nice phone price,1
great product price segment I give 4 star late delivery flipkartpros1 smooth vivid display2 great camera 3 support fast charging4 great buildcon 1 slightly heat chargingfast charge verdictworth penny I buy 144k,1
good performance,1
awesome mobile thumb must buy smile face hearteyes,1
battry backup awesome camera average day light low light poor performance overall performance good use secondary device call net surfing purpose bad gaming,1
value moneyb price,1
awesome product give review almost 89month go,1
amazing product good budget friendly smartphone,1
beautiful,1
good,1
outstanding performance smile face hearteyeswith stock android,1
wonderful,1
first redmi handset hear lot issue redmi brand I start use gem I fall love brand give almost everything I lack ir blaster drawback masterpiece people may complain battery capacity pubg gamer I must say battery capacity enough decent user support fast charge u wait much power ur device short break mobile enough charge mobile,1
awesome phone camera osm I really love,1
good producti love,1
nice phone,1
good product,1
good phone redmi,1
nice phone,1
nice,1
quite decent quality,1
good,1
beautiful,1
good product battery good battery saver camera good,1
good,1
awasome product,1
look good good performance,1
nice product smile face smile eye,1
awesome phone price camera well mi phone android otherwise phone awesome thank flipkart,1
I use phone 3 month n ill say worth money good quality sounddisplay battery bug irritate charge time around 253 hrs,1
good phone,1
nice,1
super,1
nice,1
average mobile,1
good,1
battery backup fingerprint reader satisfactory else great,1
good,1
phone slim light give great display camera produce good color artificial light many video mod camera good natural lightning,1
good work,1
nice product,1
awesome fabulous nice product thank flipkart I want redmi note 8 pro,1
great phone price satisfy product,1
phone good thumb thumb,1
phone powerhouse rs 10000 price bracket quit impressive battery easily last 15 day usage average user 1 dag heavy user camera average good xiaomi redmi note 6 pro redmi note 7 pro I recommend go priority camera display good price bracket full hd plusaslo get usb type c port also good budget phone modern port pretty fast du,1
overall good,1
well one phone,1
beautiful phone must buy smile face smile eye smile face smile eye,1
good product nice camera shot pic starstruck starstruck,1
thank u filpkart delivery sevice fast,1
nice phone low budget nice fast delivery excellent thank flip kart,1
nice,1
good phone,1
one plus 5 user review one week usage competitive price well hardware well op7 still miui need optimize oxygen os clean ad free k20 pro also almost ad freecamera 4 star even match op5 shotsupgrade might come gcam work fine meperformance 4 star well processor miui app launch little laggy compare one plus oxygen osbattery 5 star far exceed expectation network 4 star fine,1
camera good good product value,1
nice product,1
