SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,frog class
700,1,5,1,10,6,10,3,1,75,1,1,0,1,Brown frog
200,1,5,1,10,6,10,3,4,75,1,1,0,1,Brown frog
300,1,5,0,6,10,2,3,4,25,0,0,0,1,Common toad
600,2,1,4,10,2,6,0,0,99,0,5,0,1,Brown frog
500,1,5,0,6,6,10,1,2,25,0,0,0,2,Common toad
700,1,5,2,10,6,9,0,0,100,1,1,0,1,Green frog
750,2,5,1,6,1,2,0,1,50,1,0,0,1,Brown frog
200,1,12,4,2,7,6,0,0,75,1,0,0,1,Brown frog
200,1,1,4,2,7,1,0,0,100,2,1,0,1,Green frog
300,1,14,2,1,2,7,0,0,100,2,1,0,1,Brown frog
7000,1,1,1,2,6,10,3,3,50,1,5,0,1,Green frog
1700,1,1,1,2,6,10,0,1,100,2,2,2,1,Green frog
8000,1,1,3,2,10,7,0,0,100,9,9,0,1,Brown frog
30000,1,1,3,1,1,1,0,0,100,2,10,0,1,Green frog
300,1,12,4,1,1,1,0,0,100,5,10,0,1,Brown frog
300,1,15,1,1,1,9,0,0,75,0,5,0,1,Brown frog
1600,3,1,0,2,6,2,3,1,75,2,1,0,1,Green frog
3800,6,1,2,6,6,2,3,1,25,0,0,0,1,Green frog
7000,6,1,1,6,10,2,3,4,50,0,0,0,1,Green frog
2500,1,1,3,10,2,6,0,1,100,0,1,0,1,Green frog
800,1,1,0,1,2,7,3,4,100,2,1,0,1,Brown frog
1700,1,1,3,10,6,2,0,0,100,0,0,0,1,Brown frog
300,1,1,2,7,2,10,0,0,100,5,5,2,1,Green frog
4500,1,1,1,2,2,9,3,2,100,9,9,0,1,Green frog
1000,1,12,4,2,2,1,0,0,100,5,9,0,1,Brown frog
7000,1,1,4,2,2,1,0,0,100,5,5,0,1,Fire-bellied toad
30000,1,1,3,2,2,1,1,0,100,5,5,0,1,Green frog
7000,1,1,3,2,2,7,0,0,100,0,1,0,1,Brown frog
3300,1,1,3,2,1,7,0,0,100,5,5,0,1,Brown frog
2100,1,1,3,2,9,2,0,0,50,0,1,0,1,Tree frog
500,1,1,0,2,10,6,3,4,100,2,1,0,1,Green frog
400,2,1,2,2,10,10,0,0,100,1,5,0,1,Brown frog
300,1,1,1,2,10,10,0,0,100,2,2,0,1,Brown frog
1100,1,1,0,2,6,10,3,4,100,2,2,0,1,Brown frog
1000,1,1,2,2,10,6,0,0,100,1,1,0,1,Fire-bellied toad
400,1,5,1,6,2,10,1,0,75,2,0,0,1,Common toad
100,1,1,2,2,6,10,0,0,100,1,1,0,1,Brown frog
100,1,5,1,7,2,6,3,0,100,2,1,0,1,Green frog
200,1,12,4,2,2,7,0,0,100,5,5,0,1,Common toad
100,1,11,4,2,6,7,0,0,100,5,5,0,1,Common toad
2500,1,1,3,7,2,9,0,0,75,0,2,0,1,Brown frog
31000,6,1,0,2,7,6,3,4,100,5,5,0,1,Green frog
500,1,12,4,2,7,2,0,0,100,5,5,0,1,Green frog
25000,5,1,0,2,9,7,3,4,75,0,0,0,1,Green frog
1900,7,12,4,2,6,7,0,0,100,5,5,0,1,Green frog
30,1,1,2,2,7,6,0,0,75,0,1,0,1,Brown frog
4300,1,1,3,1,2,2,0,0,100,5,5,0,1,Green frog
4000,1,1,3,1,1,2,0,0,100,5,5,0,1,Green frog
300,1,1,4,1,2,6,0,0,99,2,2,0,1,Brown frog
400,1,1,2,1,7,6,0,0,100,0,1,0,1,Brown frog
1000,1,1,1,2,2,1,0,0,100,5,5,0,1,Green frog
1500,2,2,2,7,2,6,1,2,100,5,0,0,1,Brown frog
300,1,14,3,7,2,1,0,0,100,5,5,0,1,Green frog
600,1,1,2,7,1,10,0,0,100,2,2,0,1,Tree frog
28300,4,1,1,2,7,6,3,2,100,0,0,0,1,Green frog
1000,1,1,0,1,6,7,3,3,75,0,0,0,1,Green frog
50,1,1,2,2,7,10,0,0,100,5,5,0,1,Green frog
9000,2,2,0,10,1,7,1,2,100,1,1,0,1,Green frog
19300,2,1,1,2,6,1,3,3,75,2,0,0,1,Green frog
100,1,1,4,2,9,1,0,0,100,1,2,0,1,Green frog
3500,1,2,0,6,9,2,0,0,50,0,0,0,1,Green frog
300,1,12,3,7,2,1,0,0,100,5,5,0,1,Green frog
100,1,12,4,7,2,1,0,0,100,5,5,0,1,Brown frog
200,1,12,4,7,2,6,0,0,100,0,0,0,1,Brown frog
300,1,12,4,2,2,7,0,0,100,2,5,0,1,Brown frog
300,1,11,3,7,1,1,0,0,100,10,10,0,1,Green frog
300,1,11,3,1,2,10,0,0,100,10,10,0,1,Green frog
300,1,14,3,7,2,1,0,0,100,5,5,0,1,Green frog
1000,1,1,2,2,7,9,0,0,75,0,0,0,1,Common toad
9100,1,1,0,7,10,2,3,3,100,5,5,0,1,Green frog
100,1,11,4,1,10,2,0,0,100,10,10,0,1,Green frog
100,1,1,2,2,7,6,0,0,100,2,2,2,1,Green frog
300,1,1,3,2,2,1,0,0,100,5,1,0,1,Fire-bellied toad
500,2,1,0,2,9,1,3,3,100,1,2,0,1,Common toad
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,Tree frog
500,1,12,4,7,1,1,0,0,100,10,10,0,1,Green frog
600,2,1,1,1,10,6,3,1,100,1,0,0,1,Green frog
1300,1,1,0,1,10,6,3,1,100,1,1,0,1,Brown frog
2000,3,1,4,10,10,11,0,0,100,5,5,0,1,Brown frog
300,1,15,2,2,11,6,0,0,100,2,5,0,1,Brown frog
10050,1,1,2,1,10,6,0,1,100,5,5,0,1,Brown frog
9000,3,1,2,10,10,10,0,1,100,9,9,0,1,Green frog
300,1,15,3,10,10,10,0,0,100,9,9,0,1,Brown frog
300,1,14,1,2,10,10,0,0,100,5,5,0,1,Brown frog
3500,1,1,2,7,6,1,0,0,100,2,2,0,1,Green frog
300,1,15,0,2,9,7,0,0,100,1,1,0,1,Green frog
16000,4,1,2,7,9,2,0,2,100,1,5,0,1,Green frog
500,1,14,1,14,1,6,0,0,100,2,2,0,1,Green frog
3500,1,1,3,7,1,2,0,0,100,2,2,0,1,Green frog
300,1,15,1,1,7,2,0,0,100,5,5,0,1,Green frog
5000,1,1,0,1,10,2,3,2,100,5,5,0,1,Green frog
10000,1,1,3,1,10,6,0,1,100,5,5,0,1,Green frog
10000,4,1,0,10,2,6,0,1,75,0,0,0,1,Brown frog
29000,3,1,2,10,6,1,3,3,100,2,0,0,1,Green frog
8250,1,1,3,6,2,10,0,0,100,1,2,0,1,Green frog
250,1,7,1,1,10,6,0,0,100,2,5,0,1,Green frog
