/sentence/#id,/sentence/@id,Category,/sentence/aspectTerms/aspectTerm/@from,Polarity,Term,/sentence/aspectTerms/aspectTerm/@to,Text
1,456,LOCATION#GENERAL,31,positive,موقع,35,أنصح بالنوم وليس تناول الطعام  موقع مثالي للإقامة قبل رحلة طيران مبكرة.
2,456,ROOMS#GENERAL,5,positive,الغرفة,11,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.
2,456,SERVICE#GENERAL,25,positive,الموظفون,33,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.
2,456,FOOD_DRINKS#QUALITY,35,positive,بوفيه الإفطار,48,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.
2,456,FOOD_DRINKS#PRICES,67,negative,وجبة العشاء,78,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.
3,456,HOTEL#QUALITY,0,positive,فندق,4,فندق يتميز بمرافق نوعيّة وخلّاقة وساخنة. قم بشراء وجبة داخل الغرفة من M _ S عند الوصول في المطار بدلا من ذلك
4,1322,HOTEL#GENERAL,25,positive,فندق,29,"لمسة بحرية  جميل وظريفة، فندق تقليدي في المدينة التاريخية القديمة."
4,1322,HOTEL#QUALITY,0,positive,NULL,0,"لمسة بحرية  جميل وظريفة، فندق تقليدي في المدينة التاريخية القديمة."
4,1322,LOCATION#GENERAL,0,positive,NULL,0,"لمسة بحرية  جميل وظريفة، فندق تقليدي في المدينة التاريخية القديمة."
5,1322,LOCATION#GENERAL,21,positive,المدينة القديمة,36,سأوصي بالتأكيد بموقع المدينة القديمة إلا إنه عليك الحذر من الأسعار السياحية الأكثر ارتفاعاً.
5,1322,HOTEL#PRICES,59,positive,الأسعار السياحية,75,سأوصي بالتأكيد بموقع المدينة القديمة إلا إنه عليك الحذر من الأسعار السياحية الأكثر ارتفاعاً.
6,1322,SERVICE#GENERAL,0,positive,فريق العمل,10,فريق العمل الودود والمتعاون على الإطلاق والبار المنعش على الإطلاق خلال فصل الصيف.
7,1322,HOTEL#GENERAL,0,positive,فندق,4,"فندق جميل، ولكن فقط كن جاهزاً للمزيد من الجو البحري!!"
8,1322,FOOD_DRINKS#QUALITY,4,positive,الإفطار,11,كان الإفطار مبهجاً - لذيذ للغاية مع تشكيلة رائعة. رائع - 5 نجوم!
8,1322,FOOD_DRINKS#STYLE_OPTIONS,0,positive,NULL,0,كان الإفطار مبهجاً - لذيذ للغاية مع تشكيلة رائعة. رائع - 5 نجوم!
8,1322,HOTEL#QUALITY,0,positive,NULL,0,كان الإفطار مبهجاً - لذيذ للغاية مع تشكيلة رائعة. رائع - 5 نجوم!
9,1606,FOOD_DRINKS#QUALITY,89,positive,اكل,92,من افضل فنادق المدينه المنوره انصح وبشده من يريد ان يشعر انه في بيته الثاني ان يذهب اليه اكل نظيف تعامل راقي
9,1606,SERVICE#GENERAL,98,positive,تعامل,103,من افضل فنادق المدينه المنوره انصح وبشده من يريد ان يشعر انه في بيته الثاني ان يذهب اليه اكل نظيف تعامل راقي
10,1606,SERVICE#GENERAL,0,positive,خدمات,5,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان
10,1606,LOCATION#GENERAL,12,positive,موقع,16,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان
10,1606,LOCATION#GENERAL,87,positive,المكان,93,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان
11,1606,SERVICE#GENERAL,5,positive,خدمات,10,وجود خدمات توصيل من والى المطار وجود سيارات تنقلك الى المزارات ( مسجد قباء - مقبرة الشهداء - مقبرة البقيع )
12,759,HOTEL#GENERAL,8,positive,الفنادق,15,من افضل الفنادق التي تجعلك تشتاق الي العرده اليه والاقامه فيه حيث الرقي والرفاهيه والامتياز في تقديم الخدمه
12,759,SERVICE#GENERAL,101,positive,الخدمه,107,من افضل الفنادق التي تجعلك تشتاق الي العرده اليه والاقامه فيه حيث الرقي والرفاهيه والامتياز في تقديم الخدمه
13,759,FACILITIES#GENERAL,62,positive,الصاله التنفيذيه,78,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم
13,759,FOOD_DRINKS#QUALITY,91,positive,الوجبات,98,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم
13,759,LOCATION#GENERAL,139,positive,الحرم,144,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم
14,196,HOTEL#GENERAL,0,positive,فندق,4,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره
14,196,HOTEL#GENERAL,10,positive,الفندق,16,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره
14,196,SERVICE#GENERAL,37,positive,مستوى الخدمه,49,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره
14,196,SERVICE#GENERAL,82,positive,الاستقبال,91,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره
15,196,FACILITIES#GENERAL,6,positive,مركز اللياقه البدنيه,26,مستوى مركز اللياقه البدنيه ممتاز الفندق قريب من غلب مناطق الكويت الترفيهيه والمزارات السياحيه والمطاعم ويعتبر من اقرب الفنادق للشاطئ
15,196,LOCATION#GENERAL,33,positive,الفندق,39,مستوى مركز اللياقه البدنيه ممتاز الفندق قريب من غلب مناطق الكويت الترفيهيه والمزارات السياحيه والمطاعم ويعتبر من اقرب الفنادق للشاطئ
16,1700,HOTEL#COMFORT,0,positive,اقامة,5,اقامة هادئة
17,1700,HOTEL#GENERAL,24,positive,لفندق,29,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا
17,1700,HOTEL#COMFORT,69,positive,الهدوء,75,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا
17,1700,FACILITIES#GENERAL,124,positive,مطاعمه,130,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا
18,1700,SERVICE#GENERAL,14,positive,العاملين,22,"ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز"
18,1700,SERVICE#GENERAL,179,positive,العاملين,187,"ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز"
18,1700,HOTEL#QUALITY,193,positive,الفندق,199,"ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز"
19,2278,ROOMS#CLEANLINESS,69,negative,الغرفة,75,"رحلة عمل سأظل أتذكر هذا الفندق لسنوات عديدة، فقد كانت هناك صراصير في الغرفة،"
20,2278,SERVICE#GENERAL,76,positive,موظفي الفندق,88,"(وهم يرشون المكان طوال الوقت ولكن الصراصير لا تنتهي أبدا!) وعلى الرغم من أن موظفي الفندق كانوا يبذلون قصارى جهدهم، وأنا أشكرهم على ذلك، إلا أن المرافق لم تكن تساعدهم على ذلك."
20,2278,FACILITIES#GENERAL,143,negative,المرافق,150,"(وهم يرشون المكان طوال الوقت ولكن الصراصير لا تنتهي أبدا!) وعلى الرغم من أن موظفي الفندق كانوا يبذلون قصارى جهدهم، وأنا أشكرهم على ذلك، إلا أن المرافق لم تكن تساعدهم على ذلك."
21,2278,ROOMS_AMENITIES#COMFORT,1,negative,النوافذ,8,والنوافذ كان بها طبقة واحدة من الزجاج ولذلك كان صوت أبواق السيارات مزعجا حقا طوال الليل.
22,2278,HOTEL#GENERAL,18,negative,الفندق,24,ولن أنصح أحد بهذا الفندق لا سيما إذا كان يصطحب أطفالا.
23,2278,HOTEL#GENERAL,72,neutral,الفندق,78,"وبالنسبة لرحلات العمل القصيرة، التي لا تستدعي إجراءات خاصة، لا بأس بهذا الفندق، ولكن ليس أكثر من ذلك!"
24,1068,HOTEL#GENERAL,6,neutral,الفندق,12,متوسط الفندق مقبول بدرجة متوسطة و في بعض حاجات مش مقبولة
24,1068,HOTEL#GENERAL,0,neutral,NULL,0,متوسط الفندق مقبول بدرجة متوسطة و في بعض حاجات مش مقبولة
25,1068,ROOMS#CLEANLINESS,20,negative,الحمام,26,و هي  1:-في صراصير بالحمام مش كثير بي بكره أكيد بكثرة
26,1068,FACILITIES#GENERAL,4,negative,الماء,9,2:- الماء الساخن بالحمام ساعات تبقى باردة جدا و ساعات تبقى دافنة
27,1068,ROOMS_AMENITIES#QUALITY,4,negative,التليفزيون,14,3:- التليفزيون اللي بالغرفة 3 أو 4 قنوات بس اللي شغالين
28,1068,FOOD_DRINKS#PRICES,4,negative,أسعار المشروبات,19,4:- أسعار المشروبات الساخنة مثل الشاي و النسكافية غالي جداً
29,1068,HOTEL#PRICES,13,negative,أسعاره,19,5:- أعتقد إن أسعاره غالية قليلا
30,1068,FACILITIES#GENERAL,12,negative,انترنت,18,6:- لا يوجد انترنت
31,1210,HOTEL#GENERAL,0,positive,اقامه,5,اقامه ممتعه
32,1210,SERVICE#GENERAL,0,positive,الخدمه,6,الخدمه جيده . الاكل متوسط مع توافر اصناف خاصة و مفاجآت
32,1210,FOOD_DRINKS#STYLE_OPTIONS,14,positive,الاكل,19,الخدمه جيده . الاكل متوسط مع توافر اصناف خاصة و مفاجآت
33,1210,FACILITIES#DESIGN_FEATURES,0,positive,شاطئ البحر,10,شاطئ البحر خرافي مع بحيرة صناعية واسماك حولك ورمال ناعمة.
34,1210,FACILITIES#GENERAL,0,positive,بار,3,بار لافيستا جميل في قلب البحر . ملاعب اطفال رائعة وركوب الجمل. الموظفين غالبا ودودين و مبتسمين .
34,1210,FACILITIES#GENERAL,32,positive,ملاعب,37,بار لافيستا جميل في قلب البحر . ملاعب اطفال رائعة وركوب الجمل. الموظفين غالبا ودودين و مبتسمين .
34,1210,SERVICE#GENERAL,63,positive,الموظفين,71,بار لافيستا جميل في قلب البحر . ملاعب اطفال رائعة وركوب الجمل. الموظفين غالبا ودودين و مبتسمين .
35,1210,ROOMS#COMFORT,0,positive,الغرف,5,الغرف متوسطة ولكن مريحة . الحديقة متوسط و التشجير ضعيف  القيمه مقابل ما تحصل عليه هي صفقه رابحه و ممتعه
36,1705,SERVICE#GENERAL,0,positive,NULL,0,وكان الجميع جميلة ومتعاونة في وخاصة لوك
37,1705,ROOMS#DESIGN_FEATURES,0,positive,الغرف,5,"الغرف رائعة, الكثير من مساحة كبيرة بحجم ملكي, للتحرك اختر من مقاعد مريحة للجلوس."
38,1705,ROOMS#DESIGN_FEATURES,33,positive,الغرفة,39,"لقد تم تصوير فيلم قصير هنا, كانت الغرفة في الطابق الأرضي خلف مكتب الاستقبال تفتح على الفناء الذي كان لطيفا أن الأبواب مفتوحة للخروج, الجلوس في الشمس."
38,1705,FACILITIES#GENERAL,85,positive,الفناء,91,"لقد تم تصوير فيلم قصير هنا, كانت الغرفة في الطابق الأرضي خلف مكتب الاستقبال تفتح على الفناء الذي كان لطيفا أن الأبواب مفتوحة للخروج, الجلوس في الشمس."
39,1705,LOCATION#GENERAL,0,positive,موقع,4,موقع رائع من المطاعم والمقاهي. ساعود هنا مرة أخرى أوصي به لأي شخص.
39,1705,HOTEL#GENERAL,0,positive,NULL,0,موقع رائع من المطاعم والمقاهي. ساعود هنا مرة أخرى أوصي به لأي شخص.
40,941,HOTEL#GENERAL,0,positive,فندق,4,فندق ممتاز
41,941,LOCATION#GENERAL,50,positive,المكان,56,قضيت الفترة من 24-28/4 هناك وكانت الزيارة الثالثة المكان جميل جدا
42,941,SERVICE#GENERAL,3,positive,موظفين,9,والموظفين ودودون  وخدمة رائعة من البل مان للرسبشن للامن لكافة الموظفين والمطبخ ومطعم مرجانة وخدمات رائعة للسياح واحترام لهم شكرا للشيف ياسر ولمديرى المطاعم احمد وابراهيم وكل الموظفين وان شاء اللة اللاجازة القادمة هناك ايضا
42,941,SERVICE#GENERAL,19,positive,خدمة,23,والموظفين ودودون  وخدمة رائعة من البل مان للرسبشن للامن لكافة الموظفين والمطبخ ومطعم مرجانة وخدمات رائعة للسياح واحترام لهم شكرا للشيف ياسر ولمديرى المطاعم احمد وابراهيم وكل الموظفين وان شاء اللة اللاجازة القادمة هناك ايضا
43,1749,HOTEL#CLEANLINESS,0,positive,نظافة,5,نظافة وحداثة اثاث الغرفة
43,1749,ROOMS#QUALITY,13,positive,اثاث,17,نظافة وحداثة اثاث الغرفة
44,1749,FACILITIES#GENERAL,0,positive,انترنت,6,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق
44,1749,FACILITIES#GENERAL,22,positive,للمحطة,28,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق
44,1749,FACILITIES#GENERAL,41,positive,للسوق,46,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق
44,1749,FACILITIES#GENERAL,75,positive,حافلات,81,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق
44,1749,FACILITIES#GENERAL,118,positive,تاكسي,123,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق
44,1749,FACILITIES#GENERAL,146,positive,المحطة,152,انترنت قوي ومجاني مشي للمحطة 3 دقائق مشي للسوق الصيني 7 دقائق من كاونتر 10 حافلات – حافلة المطار الى محطة السنترال ثم تاكسي الفندق متعاونين تاكسي المحطة الفندق
45,1749,FACILITIES#GENERAL,8,positive,ماركت,13,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية
45,1749,FACILITIES#GENERAL,15,positive,اماكن سياحية,27,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية
45,1749,SERVICE#GENERAL,35,positive,موظفي,40,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية
45,1749,ROOMS_AMENITIES#GENERAL,67,negative,ثلاحة,72,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية
45,1749,ROOMS_AMENITIES#GENERAL,83,negative,قنوات تلفزيون عربية,102,قربه من ماركت واماكن سياحية عديدة –موظفي الفندق متعاونين –عدم وجود ثلاحة –عدم وجود قنوات تلفزيون عربية
46,1017,ROOMS#DESIGN_FEATURES,26,negative,الاستوديوهات,38,"لقد كرهناه ولن نعود أبداً الاستوديوهات بمقاس السرير فقط،"
46,1017,FACILITIES#DESIGN_FEATURES,0,negative,NULL,0,"لقد كرهناه ولن نعود أبداً الاستوديوهات بمقاس السرير فقط،"
47,1017,ROOMS#MISCELLANEOUS,3,negative,الحمام,9,"، والحمام غير موجود. إنه حوض استحمام محاط بالجدران. يمكنك الخروج من السرير مباشرة إلى الحمام. المرحاض الذي يمكنك أن تجده في منطقة الحمامات يمكن إغلاقه بباب زجاجي لا ينغلق بالكامل."
47,1017,ROOMS#DESIGN_FEATURES,94,negative,المرحاض,101,"، والحمام غير موجود. إنه حوض استحمام محاط بالجدران. يمكنك الخروج من السرير مباشرة إلى الحمام. المرحاض الذي يمكنك أن تجده في منطقة الحمامات يمكن إغلاقه بباب زجاجي لا ينغلق بالكامل."
48,1017,ROOMS_AMENITIES#MISCELLANEOUS,7,negative,المكيف,13,لم يكن المكيف يعمل (27 درجة مئوية في الخارج) كان المصعد يعمل فقط في اليوم الأول وليس في الأيام الأربعة التالية.
48,1017,FACILITIES#MISCELLANEOUS,49,negative,المصعد,55,لم يكن المكيف يعمل (27 درجة مئوية في الخارج) كان المصعد يعمل فقط في اليوم الأول وليس في الأيام الأربعة التالية.
49,910,HOTEL#GENERAL,0,positive,فندق,4,فندق رائع بكل المقاييس بل هو افضل فنادق المدينة المنورة على الاطلاق
50,910,HOTEL#DESIGN_FEATURES,0,positive,NULL,0,اولا من لحظة دخولك الفندق كل رخام و شكله رائع ..
51,910,ROOMS#QUALITY,19,positive,الموظفين,27,ثانيا الاستقبال من الموظفين رائع و الاجراءات تنتهى بسرعة ..
52,910,ROOMS#QUALITY,0,positive,الغرفة,6,الغرفة مميزة و رائعة ..
53,910,SERVICE#GENERAL,0,positive,الخدمة,6,الخدمة جيدة جدا و سريعة ..
54,910,LOCATION#GENERAL,0,positive,الموقع,6,الموقع للفندق مميز و الشىء الرائع انه بجوار باب 25 المخصص للحريم و المؤدى للروضة للحريم...
55,778,HOTEL#COMFORT,10,positive,الاقامه,17,كانت فتره الاقامه ممتعه ..
56,778,LOCATION#GENERAL,19,positive,الحرم,24,الفندق قريب جدا من الحرم على بعد خطوات ليس اكتر ...
57,778,SERVICE#GENERAL,0,positive,الموظفين,8,الموظفين اكتر من رائعين و يلبون الطلبات فى الوقت المخصص لها ....
58,778,SERVICE#GENERAL,23,positive,للعاملين فى هدا الفندق,45,اتمنى المزيد من التقدم للعاملين فى هدا الفندق الرائع و مزيد من التقدم ان شاء الله. و حتما سوف اعود ان شاء الله.
59,2210,HOTEL#PRICES,7,positive,نظيف,11,رخيص و نظيف
59,2210,HOTEL#CLEANLINESS,0,positive,NULL,0,رخيص و نظيف
60,2210,HOTEL#PRICES,4,positive,فندق,8,"إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف."
60,2210,ROOMS_AMENITIES#QUALITY,37,negative,تلفاز,42,"إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف."
60,2210,ROOMS_AMENITIES#QUALITY,108,neutral,مكيف هواء,117,"إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف."
60,2210,SERVICE#GENERAL,128,negative,خدمة غرف,136,"إنه فندق رخيص في سيوة، بعض الغرف بها تلفاز (سيكون من حسن الحظ إذا كان يعمل) لكن من يحتاج ذلك، بعض الغرف بها مكيف هواء، لا تتوقع خدمة غرف."
61,2210,LOCATION#GENERAL,40,positive,مركز البلدة,51,"لذا إذا كنت تبحث عن مكان رخيص بالقرب من مركز البلدة و نظيف أيضاً، هذا هو مكانك. إذا كنت تحب بعض الرفاهية أثناء إقامتك فبكل تأكيد ستخيب آمالك جداً هناك."
